sequence,median,0.75 Q,0.95 Q,mean,std_dev
plain,0.032585485685872995,1.300381672340191,2.8251616754888733,0.7188020607526303,1.10473942189688
stairs,0.013859230437227392,0.0327481593742323,4.535778875320828,0.5392101187861964,1.5579543308043828
apartment,0.011153655153327582,0.01707105390928983,0.0358995149024411,0.01599664003174422,0.0156923787596287
hauptgebaude,0.7988775049475725,1.5763672868578604,2.365468036907741,0.775257676534193,0.7427240592357679
wood_autumn,0.011027147362501974,0.01612930569825057,0.02445616049081965,0.012071704294881178,0.0064793005530121225
wood_summer,0.009358742601529165,0.013145573103102904,0.018687828930039563,0.010454646381988578,0.005081427910148166
gazebo_summer,0.00907145603556763,0.014807868910602106,0.023209182168922877,0.010856010396890471,0.0067208390224490575
gazebo_winter,0.0074256095847115445,0.01020111875230769,0.020849939743913415,0.008978429894184207,0.005550537202295354
box_met,7.048165144629321,9.903555818110535,13.237432438122967,6.5698184492666325,4.488289133899255
p2at_met,0.15589067400584677,6.543762156106602,11.839616074957544,3.273490884893004,4.382585580270516
planetary_map,41.08235972847278,64.6449008270347,101.8545309638999,48.779567828074114,29.424075384004944
pioneer_slam,0.03404110471699483,0.0710828723575634,0.12455309968372079,0.051253898819267854,0.03947909678995735
pioneer_slam3,0.013037737934572483,0.02233709448733442,0.03338373562952327,0.015745188257860913,0.009270745439427765
long_office_household,0.042862864209887,0.07940585365315486,0.2010913485909566,0.06474956784300445,0.060452307529925635
urban05,1.3244475719794488,1.9336360715853025,3.3660955499858467,214860.29405069654,2137819.856115128
Total,0.024011818368375185,0.8008729066341286,27.314211350236086,14309.06230993058,554209.3703103978
